Continent,GDP,Population,Avg Cantril Ladder Score,GDP per Capita
Africa,2907648995839,1444529285,4.326572093023255,2012.869538909348
Asia,37526230706769,4657339555,5.467063414634146,8057.439287732801
Europe,25787307724450,743445019,6.436344736842105,34686.23377036843
North America,32237212015611,593099884,6.146492857142857,54353.76550438003
Oceania,2023527666866,46383243,7.04305,43626.265349018395
South America,4091167148276,404416442,6.0650023636363635,10116.22358389672
