Country,GDP,Population,Cantril Ladder Score,Continent,GDP per Capita
State of Palestine,17420800000,5409202,,Asia,3220.5859570413527
Afghanistan,17233051620,41454761,1.721,Asia,415.7074170563907
Guyana,17159509565,826353,5.992826,South America,20765.350358744992
Niger,16819170421,26159867,4.5563,Africa,642.9379178800871
Moldova,16539436547,3067070,5.8159,Europe,5392.585284000691
Laos,15843155731,7664993,5.1389,Asia,2066.94979773628
Madagascar,15790113247,31195932,4.2279,Africa,506.1593686958928
North Macedonia,15763621848,1831802,5.3691,Europe,8605.527151952012
Congo,15321055823,6182885,5.2215,Africa,2477.9784555268293
Brunei,15128292981,458949,,Asia,32962.90651248831
Mauritius,14644524819,1273588,5.8164,Africa,11498.635994528842
Bahamas,14338500000,399440,,North America,35896.50510715001
Rwanda,14097768472,13954471,3.2682,Africa,1010.2689290049046
Kyrgyzstan,13987627909,7073516,5.7135,Asia,1977.4646595837205
Chad,13149325362,19319064,4.4713,Africa,680.6398778947055
Malawi,12712150082,21104482,3.421,Africa,602.3436198054991
Namibia,12351025067,2963095,4.8317,Africa,4168.285210902789
Equatorial Guinea,12337550584,1847549,,Africa,6677.793435519166
Tajikistan,12060602009,10389799,5.2807,Asia,1160.81187027776
Mauritania,10651709411,5022441,4.5051,Africa,2120.82320349806
Togo,9171261838,9304337,4.2141,Africa,985.6975126760778
Montenegro,7530593375,633552,5.707,Europe,11886.306688322347
Barbados,6720733200,282336,,North America,23804.02499149949
Maldives,6590894302,525994,5.1976,Asia,12530.36023604832
Sierra Leone,6411869546,8460512,3.2452,Africa,757.8583359966867
Fiji,5442046565,924145,,Oceania,5888.736686342511
Eswatini,4442875788,1230506,3.502,Africa,3610.6087967063954
Liberia,4240000000,5493031,4.2686,Africa,771.8871420896769
Andorra,3785067332,80856,,Europe,46812.44845156822
Aruba,3648573136,107939,,North America,33802.17656268818
Suriname,3455146281,628886,6.269,South America,5494.074094509975
Belize,3066850000,411106,5.9556,North America,7459.998151328368
Burundi,2642161669,13689450,3.7753,Africa,193.0071455756075
Central African Republic,2555492085,5152421,3.4759,Africa,495.97889710487556
Cabo Verde,2533819406,522331,,Africa,4850.984157555266
Saint Lucia,2430148148,179285,,North America,13554.665186713892
Gambia,2396111022,2697845,4.4849,Africa,888.1574078570118
Seychelles,2141450171,127951,,Africa,16736.486397136403
Lesotho,2117962451,2311472,3.1862,Africa,916.2829794174448
Timor-Leste,2079916900,1384286,,Oceania,1502.5196382828403
Guinea-Bissau,2048348108,2153339,,Africa,951.2427481227991
Antigua and Barbuda,2033085185,93316,,North America,21787.101729606926
Solomon Islands,1633319401,800005,,Oceania,2041.636491021931
Comoros,1352380971,850387,3.5663,Africa,1590.3123766003007
Grenada,1316733333,117081,,North America,11246.345120045096
Vanuatu,1126313359,320409,,Oceania,3515.2363354337735
St. Vincent & Grenadines,1065962963,101323,,North America,10520.444153844635
Saint Kitts & Nevis,1055499778,46758,,North America,22573.67248385303
Samoa,938189444,216663,,Oceania,4330.178406096104
Sao Tome & Principe,678976265,230871,,Africa,2940.9335299799454
Dominica,653992593,66510,,North America,9832.996436626072
Micronesia,460000000,525240,,Oceania,875.7901149950499
Palau,281849063,17727,,Oceania,15899.42251932081
Kiribati,279208903,132530,,Oceania,2106.7600015090925
Marshall Islands,259300000,38827,,Oceania,6678.342390604476
Tuvalu,62280312,9816,,Oceania,6344.775061124695
