Year,False,True
1870,0.043509861840197075,1.4444417711594764
1880,0.053495158859555615,2.0571257271635104
1890,0.08672140340238095,2.7744549955017233
1900,0.1523339235850397,3.6921241357501042
1910,0.17205549649924712,5.020014534190341
1920,0.2773649724886812,5.311934574145451
1930,0.27614755980270067,5.424440696414982
1940,0.4172765548329036,5.953518738986264
1950,0.3551704880835513,6.624250943066592
1960,0.8860908957956,8.153332992490014
1970,1.2291059689061565,11.18486323008139
1980,1.6282612516901471,12.548989657207759
1990,1.864040414915018,12.404744327578651
2000,2.2415076255547537,11.21037713298254
2010,3.26124333841662,10.616774349362412
2020,3.471686364056806,8.601067503042037
